subj_id,clip_id,response_type,time,is_locked,EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,CheekSquint_R,ind,new_response_type
200398733,9,watch,0.0,1.0,0.310678,0.535942,0.0,0.0,0.687407,0.6965140000000001,0.401244,0.0,0.0,0.0,0.0,0.24996100000000002,0.0,0.0,0.9160870000000001,0.9903770000000001,0.00257941,0.0,0.0,0.0,0.0,0.10774,0.0,0.000873458,0.129056,0.012427299999999999,0.0,0.0,0.364526,0.479537,0.36859200000000003,0.22140900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086588,0.0,0.000296828,0.0,0.590368,0.464742,1.92377e-05,0.57102,0.630621,0.0,0.0,1,watch
200398733,9,watch,0.04159999999999897,1.0,0.312842,0.536824,0.0,0.0,0.687811,0.696917,0.401069,0.0,0.0,0.0,0.0,0.24978499999999998,0.0,0.0,0.879072,0.9905959999999999,0.025885500000000002,0.0,0.0,0.0,0.0,0.109377,0.0,3.38845e-05,0.13134200000000001,0.0129214,0.0,0.0,0.369129,0.48681199999999997,0.37450300000000003,0.217401,0.0,0.0,2.72796e-05,0.0,0.0,0.0,0.0,0.0,0.0857452,0.0,0.0008247780000000001,0.0,0.593105,0.46693199999999996,0.0,0.570625,0.625553,0.0,0.0,2,watch
200398733,9,watch,0.08329999999999949,1.0,0.314328,0.537255,0.0,0.0,0.688567,0.697674,0.400915,0.0,0.0,0.0,0.0,0.24963000000000002,0.0,0.0,0.803299,0.997975,0.07589939999999999,0.0,0.0,0.0,0.0,0.11068800000000001,0.0,0.000237326,0.125346,0.00427152,0.0,0.0,0.369006,0.47670799999999997,0.37406,0.20564200000000002,0.0,0.0,0.00047459,0.0,0.0,0.0,0.0,0.0,0.0896053,0.0,0.000231105,0.0,0.583853,0.46813699999999997,0.0,0.588372,0.6049979999999999,0.0,0.0,3,watch
200398733,9,watch,0.125,1.0,0.309789,0.538149,0.0,0.0,0.689025,0.698132,0.400753,0.0,0.0,0.0,0.0,0.249466,0.0,0.0,0.781135,0.9998790000000001,0.0116574,0.0,0.0,0.0,0.0,0.10600799999999999,0.0,0.00177901,0.11892899999999999,0.00251028,0.0,0.0,0.373431,0.46866,0.370911,0.199201,0.0,0.0,0.000578928,0.0,0.0,0.0,0.0,0.0,0.08981439999999999,0.0,7.80265e-06,0.0,0.584492,0.467821,2.43947e-05,0.600705,0.591163,0.0,0.0,4,watch
200398733,9,watch,0.16659999999999897,1.0,0.30490500000000004,0.540218,0.0,0.0,0.68935,0.698454,0.400502,0.0,0.0,0.0,0.0,0.249212,0.0,0.0,0.79451,0.999711,0.0002599,0.0,0.0,0.0,0.0,0.100827,0.0,0.00318354,0.11841800000000001,0.00401084,0.0,0.0,0.380204,0.46702200000000005,0.369394,0.199845,0.0,0.0,8.61085e-05,0.0,0.0,0.0,0.0,0.0,0.08708510000000001,0.0,0.0,0.0,0.595309,0.46961,0.00069462,0.602891,0.5902930000000001,0.0,0.0,5,watch
200398733,9,watch,0.20829999999999949,1.0,0.304627,0.545304,0.0,0.0,0.689547,0.698647,0.40021599999999996,0.0,0.0,0.0,0.0,0.248923,0.0,0.0,0.843664,0.998343,0.0,0.0,0.0,0.0,0.0,0.093073,0.0,0.00234438,0.11490299999999999,0.00317719,0.0,0.0,0.385492,0.462121,0.366938,0.201623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08762869999999999,0.0,0.0,0.0,0.60393,0.47119700000000003,0.00237264,0.599279,0.5896600000000001,0.0,0.0,6,watch
200398733,9,watch,0.25,1.0,0.309589,0.5546449999999999,0.0,0.0,0.689733,0.6988300000000001,0.400005,0.0,0.0,0.0,0.0,0.248709,0.0,0.0,0.898107,0.9942,0.0,0.0,0.0,0.0,0.0,0.0850665,0.0,0.000713781,0.11236099999999999,0.00321015,0.0,0.0,0.38559,0.45709799999999995,0.36680999999999997,0.202156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0893467,0.0,0.0,0.0,0.609376,0.47337299999999993,0.0014765000000000002,0.588699,0.588026,0.0,0.0,7,watch
200398733,9,watch,0.29159999999999897,1.0,0.318375,0.55913,0.0,0.0,0.689875,0.698969,0.399827,0.0,0.0,0.0,0.0,0.248529,0.0,0.0,0.961685,0.991209,0.0,0.0,0.0,0.0,0.0,0.0788225,0.0,7.89259e-05,0.108297,0.00418699,0.0,0.0,0.384288,0.453762,0.366695,0.199857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0901202,0.0,0.0,0.0,0.612386,0.477163,0.00104623,0.577426,0.5834229999999999,0.0,0.0,8,watch
200398733,9,watch,0.3332999999999995,1.0,0.329968,0.560114,0.0,0.0,0.69013,0.699222,0.399619,0.0,0.0,0.0,0.0,0.24831799999999998,0.0,0.0,0.986541,0.985518,0.0,0.0,0.0,0.0,0.0,0.07410549999999999,0.0,1.09214e-05,0.105849,0.00821398,0.0,0.0,0.382702,0.45473100000000005,0.366744,0.198228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0897949,0.0,0.0,0.0,0.615989,0.480174,0.000158135,0.5639649999999999,0.5794090000000001,0.0,0.0,9,watch
200398733,9,watch,0.375,1.0,0.352677,0.567479,0.0,0.0,0.6905680000000001,0.699659,0.399411,0.0,0.0,0.0,0.0,0.24810700000000002,0.0,0.0,0.9862270000000001,0.9799950000000001,0.00045135300000000004,0.0,0.0,0.0,0.0,0.0685525,0.0,0.000254687,0.10543399999999999,0.0118149,0.0,0.0,0.38126,0.45910100000000004,0.367921,0.196665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08945260000000001,0.0,0.0,0.0,0.621092,0.48530200000000007,0.0,0.553245,0.576042,0.0,0.0,10,watch
